Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.functions.cast.CastDoubleToStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.str.ToCharBinFunctionFactory,"State, Factory Method, Decorator",3,9
io.questdb.griffin.engine.functions.eq.EqLong256StrFunctionFactory,"State, Factory Method, Decorator",9,11
io.questdb.griffin.engine.functions.groupby.FirstShortGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.SubLongFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.test.TestLatchedCounterFunctionFactory,"Factory Method, Decorator",9,12
io.questdb.griffin.engine.functions.str.LPadFunctionFactory,"State, Factory Method, Decorator",8,9
io.questdb.griffin.engine.functions.catalogue.PgAttrDefFunctionFactory,"State, Factory Method, Decorator",21,11
io.questdb.griffin.engine.functions.cast.CastStrToRegClassFunctionFactory,"State, Factory Method, Decorator",7,8
io.questdb.griffin.engine.functions.str.RTrimFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.bool.OrFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.cast.CastTimestampToSymbolFunctionFactory,"State, Factory Method, Decorator",10,24
io.questdb.griffin.engine.functions.cast.CastDoubleToSymbolFunctionFactory,"State, Factory Method, Decorator",12,24
io.questdb.griffin.engine.functions.cast.CastStrToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.regex.NotMatchStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.catalogue.VersionFunctionFactory,"Factory Method, Decorator",0,9
